id,facilityId,catalogItemId,programId,equipmentTrackingId,yearOfInstallation,functionalStatus,utilization,voltageStabilizer,backupGenerator,voltageRegulator,manualTemperatureGauge,remoteTemperatureMonitor,lastModifierId,modifiedDate,referenceName,reasonNotWorkingOrNotInUse,decommissionDate
a3597a53-c141-448a-b787-c7da1c14df0b,7fc9bda8-ad8a-468d-8244-38e1918527d5,94c6e021-0020-4af3-b789-306f2cd1dabb,418bdc1d-c303-4bd0-b2d3-d8901150a983,5509476,2017,FUNCTIONING,ACTIVE,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,NO_GAUGE,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #1,,
49fae7d6-47e4-4dca-93ae-c0f7a9bef8d0,4774fc63-a0c8-4a29-a01d-5b6b48632175,a4a83bb8-8ad1-416f-a2e1-831477565820,418bdc1d-c303-4bd0-b2d3-d8901150a983,4797935,2017,AWAITING_REPAIR,ACTIVE,YES,YES,UNKNOWN,BUILD_IN,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #2,NEEDS_SPARE_PARTS,
43fd7919-257b-4657-8ee6-119020fd797f,a205764b-3998-4c89-afac-2bc9d737c8d3,d9859ac7-22a9-43c5-9a6e-4e104a64fea3,418bdc1d-c303-4bd0-b2d3-d8901150a983,7728852,2017,FUNCTIONING,ACTIVE,UNKNOWN,NOT_APPLICABLE,YES,PAIRED,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #3,,
e063e1e5-73b2-4d4c-9f7a-589c91d6c616,0509f332-a77e-4bfc-921b-11c46a6bbfd2,b7f6e748-fb84-4cfb-96de-651375d54f0e,418bdc1d-c303-4bd0-b2d3-d8901150a983,1004749,2017,AWAITING_REPAIR,ACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NO,NO_GAUGE,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #4,NO_FINANCE,
bd71a18f-c084-401a-bd57-e1b3f588f9b7,19a94b68-e613-4996-9bea-94313e9fa34d,9f160b5a-a1b3-433f-84b3-b838c52d1354,418bdc1d-c303-4bd0-b2d3-d8901150a983,7633876,2017,UNSERVICEABLE,ACTIVE,YES,NOT_APPLICABLE,NO,BUILD_IN,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #5,NOT_IN_USE,2016-11-27
1546b5b9-ac0d-4369-b70b-11fc7642c16c,6115591d-6e74-4b7f-9f80-f19e42494c99,9f160b5a-a1b3-433f-84b3-b838c52d1354,418bdc1d-c303-4bd0-b2d3-d8901150a983,2798060,2017,FUNCTIONING,ACTIVE,NO,NO,NOT_APPLICABLE,NO_GAUGE,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #6,,
75b7d804-f283-445a-818a-16e1b764b4f7,e21e24ea-2d60-4468-b410-133c51485402,d9859ac7-22a9-43c5-9a6e-4e104a64fea3,418bdc1d-c303-4bd0-b2d3-d8901150a983,3849436,2017,AWAITING_REPAIR,ACTIVE,YES,YES,NO,PAIRED,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #7,NEEDS_SPARE_PARTS,
0b605e81-d5d7-405e-a657-918889de7916,5146de1c-f089-43ff-8016-3c9e8f36e014,d9859ac7-22a9-43c5-9a6e-4e104a64fea3,418bdc1d-c303-4bd0-b2d3-d8901150a983,5623659,2017,FUNCTIONING,ACTIVE,UNKNOWN,NO,NO,BUILD_IN,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #8,,
309316a4-81e5-427f-8fa9-7a183f85f776,249fbafc-e934-4068-8452-d92381299c40,94c6e021-0020-4af3-b789-306f2cd1dabb,418bdc1d-c303-4bd0-b2d3-d8901150a983,8324506,2017,AWAITING_REPAIR,ACTIVE,UNKNOWN,YES,UNKNOWN,PAIRED,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #9,NO_FINANCE,
6c77d621-2d8c-47c5-a7e0-61b9f137ec2f,6c0de27e-2705-4183-96fc-0905caa34dc2,f62ee40b-788f-475d-9c83-1827653976cc,418bdc1d-c303-4bd0-b2d3-d8901150a983,7965351,2017,UNSERVICEABLE,ACTIVE,UNKNOWN,YES,NOT_APPLICABLE,PAIRED,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #10,NOT_IN_USE,2017-04-19
497117a2-0be4-49f0-b7f1-12a48af2c759,97f7c9fb-4d2f-4501-a4bf-f9c365815c20,b7f6e748-fb84-4cfb-96de-651375d54f0e,418bdc1d-c303-4bd0-b2d3-d8901150a983,1109942,2017,FUNCTIONING,ACTIVE,NOT_APPLICABLE,UNKNOWN,YES,BUILD_IN,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #11,,
6dab0125-3e6e-4df8-a567-510ddaef6103,e6673cec-c79c-4111-b67c-9b31a1735e27,3f8b15ad-1f16-4104-9108-df9f941476ed,418bdc1d-c303-4bd0-b2d3-d8901150a983,8667066,2017,AWAITING_REPAIR,ACTIVE,UNKNOWN,NO,UNKNOWN,NO_GAUGE,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #12,NO_FINANCE,
882e16e8-4b79-4ade-8304-fd811733cb24,701ee94a-083e-46bb-83b7-d95c3a4c9884,d9859ac7-22a9-43c5-9a6e-4e104a64fea3,418bdc1d-c303-4bd0-b2d3-d8901150a983,1680680,2017,FUNCTIONING,ACTIVE,NO,YES,YES,NO_GAUGE,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #13,,
