id,fromPqsCatalog,equipmentCode,type,model,manufacturer,energySource,dateOfPrequal,storageTemperature,maxOperatingTemp,minOperatingTemp,energyConsumption,holdoverTime,grossVolume,netVolume,visibleInCatalog,archived
cbaf7521-0b77-4d05-bd57-885d1cfd3019,true,62362-179,curae donec pharetra,LGDQR-5722-g,Wuckert LLC,GASOLINE,1975,MINUS18,17,-22,3.17kW/day,68,98,51,true,true
8f64ca60-48e7-463c-b15e-ad3cb02df786,false,42248-113,purus,IS-98-e,Kemmer-Fahey,SOLAR,1951,MINUS5,19,-38,9.54kW/day,2,96,58,true,false
898ed5a2-5738-489b-9350-9b05770c5772,true,55154-5028,turpis a pede,IQWA-794-vkzj,Anderson-Stehr,NOT_APPLICABLE,1968,MINUS7,7,4,2.79kW/day,32,32,12,true,true
2a6132d4-9ddf-4f1f-9f7e-831a9a2abb06,false,63824-231,in leo maecenas,YGDFZ-773-fxwjv,Larkin LLC,SOLAR,1954,MINUS8,17,-28,5.82kW/day,18,50,91,true,false
773f8243-3a0f-4d46-8a22-b1683c773cf7,false,60681-6001,habitasse,OTD-7-rj,Spencer Inc,GASOLINE,2014,MINUS9,21,13,5.82kW/day,77,65,58,false,true
50b411ae-9455-436e-8458-84f8d3a7bd0f,true,43598-409,maecenas ut massa,MQ-21-ukhb,Schowalter-Heidenreich,GASOLINE,1951,MINUS16,19,49,3.20kW/day,34,84,2,true,false
b0b4afea-65be-453d-900d-799f7297b807,false,10096-0226,semper sapien a,BQ-1-xh,"Bartoletti, Funk and Klocko",GASOLINE,1989,MINUS13,-5,30,8.53kW/day,32,11,53,true,true
3574d23c-a1c2-4010-9daf-05e1e4307cac,true,0067-8118,id mauris,YZCN-6397-pavhu,Breitenberg-Schinner,GASOLINE,1995,MINUS2,34,12,8.87kW/day,98,15,80,false,false
82538030-4d9a-492f-87ce-aeca17db533c,false,54868-5600,rhoncus aliquam lacus,YREHD-4263-dfo,Casper-Hyatt,SOLAR,1955,MINUS14,-4,25,2.34kW/day,92,24,81,false,true
34197568-7bc5-47fe-8eb6-251eac351baf,false,49738-604,nisl,JAY-3274-,Champlin Group,ELECTRIC,1988,MINUS16,19,-10,8.81kW/day,6,37,22,false,false
3a0fa55d-19f1-44e2-aae9-f691586dc1ce,true,62802-653,sit amet,NV-6028-jh,Stamm-Harber,GASOLINE,1990,MINUS10,9,17,4.22kW/day,62,8,42,true,true
512ff9c9-452a-40ab-bb2d-39886b87196b,false,55316-186,non velit,HIA-954-ma,"Gislason, Cremin and Williamson",GASOLINE,1954,MINUS17,-12,46,6.53kW/day,28,100,87,true,false
02613991-f21e-4753-b96f-8a8a88dd9675,true,58668-0771,at,VLY-96600-ay,Gusikowski and Sons,NOT_APPLICABLE,2005,MINUS17,8,1,7.36kW/day,16,17,83,false,true
ab632876-9279-4ce0-823e-ae2a5227319d,false,48769-113,lobortis ligula sit,JFEGX-14-,"Mayer, Hilll and O'Hara",ELECTRIC,2012,MINUS16,23,-48,5.78kW/day,32,44,4,true,false
4073ca74-ea3b-475f-8e76-16ba4b6100ef,false,41250-167,ac consequat metus,WVBZA-67-cvyp,Walsh Group,GASOLINE,2000,MINUS5,4,13,7.39kW/day,34,100,34,false,true
55ff9354-39ab-4a4f-a8d5-735324dc0a31,true,21695-350,ante vivamus tortor,KZIQ-73-,"Cummings, Kilback and Armstrong",NOT_APPLICABLE,1999,MINUS18,3,30,5.74kW/day,4,0,1,false,false
2d4de7b1-adef-4a19-87bd-4176220b52ba,true,0228-4029,vel nulla eget,UORZ-83344-f,"Ullrich, Marvin and Lehner",GASOLINE,1973,MINUS19,37,-9,1.08kW/day,87,76,88,true,true
73afacc6-b0b1-46b5-88d6-efab4597b51d,true,58118-5062,non mi integer,RYFQ-0-huglc,"Wisoky, Mueller and Armstrong",SOLAR,2014,MINUS17,-6,21,5.47kW/day,70,30,87,true,false
37b92c8e-37c9-4137-a3bd-507838cdcb5a,true,49789-040,est,YRVJK-34949-m,Beatty LLC,NOT_APPLICABLE,1982,MINUS12,-33,34,1.33kW/day,30,7,42,true,true
5ec06740-5061-41c7-875e-ba25949f156b,true,63354-430,risus semper porta,WSVDH-9699-a,"Nolan, Conn and Windler",NOT_APPLICABLE,1996,MINUS17,-17,-23,3.69kW/day,43,23,62,false,false
c4c30ac4-a3f4-415e-8ba1-8bbd003eb715,false,59630-074,quis,TWNK-4-xtksm,Feeney and Sons,SOLAR,1960,MINUS9,-44,-21,6.64kW/day,70,18,62,false,true
