id,facilityId,catalogItemId,programId,referenceName,yearOfInstallation,functionalStatus,utilization,voltageStabilizer,backupGenerator,voltageRegulator,manualTemperatureGauge,remoteTemperatureMonitor
0d907735-f1b3-4f78-b4e8-3ed988af5d36,82cd598e-72a2-4531-9f20-8388f36f84d1,b8427544-84a6-4600-955f-94fbc6ae17a6,10845cb9-d365-4aaa-badd-b4fa39c6a26a,sed,1961,FUNCTIONING,ACTIVE,NOT_APPLICABLE,NO,YES,BUILD_IN,BUILD_IN
33270156-16be-4fee-9b7b-2b74af9c6790,3bea6b32-f4f8-43c4-89f8-4019fd214a0f,2c8f15e7-21fc-4a65-a22f-1970371ffe8e,10845cb9-d365-4aaa-badd-b4fa39c6a26a,ipsum primis,2003,OBSOLETE,NOT_IN_USE,UNKNOWN,NOT_APPLICABLE,UNKNOWN,BUILD_IN,NO_RTM
f687cf77-13de-4757-bcb4-9d523b879aae,9f10a4f0-14ed-4bf7-b8f2-24ff4f305045,3ef344c3-912b-48f9-95c6-99e3c1694598,dce17f2e-af3e-40ad-8e00-3496adef44c3,orci luctus,1993,OBSOLETE,ACTIVE,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,PAIRED,PAIRED
aa14517b-6764-4d79-b98b-cc4121052207,6452c77e-dc81-4444-b4f8-067aca6832f2,2869dabf-1949-4c28-a968-69ff54de3ebb,dce17f2e-af3e-40ad-8e00-3496adef44c3,lobortis ligula sit,2005,FUNCTIONING,ACTIVE,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,PAIRED,PAIRED
514cfb29-d9b4-407d-9ffb-2c30fc2bb211,b9ab12d0-12a0-4550-91a6-0cd67a7c8d8f,cf32ab21-4b83-4d84-92f5-237bee457cbb,10845cb9-d365-4aaa-badd-b4fa39c6a26a,nullam,1950,OBSOLETE,ACTIVE,YES,YES,NO,PAIRED,PAIRED
9133a00f-c1b5-4112-aaa9-d0a48e916e87,d0e285f6-fa0d-457d-a2a0-0c18ed1adda8,e5d9cf52-18d3-4fd5-9f5a-a3a5cf39d54a,dce17f2e-af3e-40ad-8e00-3496adef44c3,dui,1985,NON_FUNCTIONING,IN_STORE_FOR_ALLOCATION,NOT_APPLICABLE,NO,UNKNOWN,PAIRED,PAIRED
df1e24d7-3a33-4337-b447-de066b4a4176,a4039b5d-7333-42df-aeee-a37961f7f8e2,387f5e74-97c2-48b0-bdf3-6462a3fd9148,10845cb9-d365-4aaa-badd-b4fa39c6a26a,vel pede morbi,1961,NON_FUNCTIONING,NOT_IN_USE,NO,YES,NO,BUILD_IN,BUILD_IN
4e18d116-15dd-49f5-83f9-5a3ab62792da,c9fa1c53-9e83-44f2-a5ff-988765918deb,8552f4d1-b122-4f40-8074-1605b12fe7fd,10845cb9-d365-4aaa-badd-b4fa39c6a26a,nullam,1972,NON_FUNCTIONING,IN_STORE_FOR_ALLOCATION,YES,NO,NOT_APPLICABLE,NO_GAUGE,BUILD_IN
b9a4ac13-0fc4-4826-b042-ca32f2bc682d,c4ebb848-28ae-4d0c-9119-a7ea2c5ca903,229687b5-2270-4682-9f5a-e1b57a75d52d,10845cb9-d365-4aaa-badd-b4fa39c6a26a,erat eros,1988,OBSOLETE,IN_STORE_FOR_ALLOCATION,NO,NO,YES,BUILD_IN,NO_RTM
76254637-36dd-4943-a6d1-1da33caf6284,2e8b5ce3-3536-4126-97a7-d17266e9cdf5,36c9aa0f-43aa-40ed-9b67-1714e124b8c9,10845cb9-d365-4aaa-badd-b4fa39c6a26a,tincidunt,1968,FUNCTIONING,NOT_IN_USE,NOT_APPLICABLE,NO,YES,NO_GAUGE,BUILD_IN
8f469dd6-6689-436a-afc8-3a27a5d8705f,a32c9204-4bc9-4b17-9db0-428b069d1875,a9db9960-0241-48f1-9403-941da9349e71,10845cb9-d365-4aaa-badd-b4fa39c6a26a,suspendisse,1971,OBSOLETE,NOT_IN_USE,NO,NOT_APPLICABLE,NOT_APPLICABLE,BUILD_IN,BUILD_IN
8ced50f6-f71f-4355-9369-5b5846a4a529,0dea5790-e8f4-4e05-ad89-8f70699feee1,e9743bed-7e3f-450e-a6a1-093e5aaa45c4,10845cb9-d365-4aaa-badd-b4fa39c6a26a,platea dictumst,1988,FUNCTIONING,ACTIVE,UNKNOWN,NOT_APPLICABLE,UNKNOWN,NO_GAUGE,NO_RTM
c23cd171-28c9-4401-b7be-f26ada6e9cad,7fcdf7a4-dd72-47a1-9586-b1822004eb2d,07a8b911-9797-43cd-91e2-c43e76d02e5d,10845cb9-d365-4aaa-badd-b4fa39c6a26a,diam nam tristique,1992,NON_FUNCTIONING,IN_STORE_FOR_ALLOCATION,UNKNOWN,UNKNOWN,YES,PAIRED,BUILD_IN
911f986e-c6e8-4585-9572-520c745fe70f,0775f800-ab85-424c-a311-a0c58d710851,82741a46-0261-4755-a54b-f5cda93fee4f,dce17f2e-af3e-40ad-8e00-3496adef44c3,at velit,1996,OBSOLETE,ACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NO,PAIRED,NO_RTM
5e44b442-6622-4f5d-9780-d99d54876bbe,74dae252-d463-47b5-b82f-2039f9cf063e,92a4db1c-2c17-449a-ab13-f89c90b9b835,10845cb9-d365-4aaa-badd-b4fa39c6a26a,odio consequat varius,1971,OBSOLETE,NOT_IN_USE,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,NO_GAUGE,BUILD_IN
58648ad5-4449-4b2a-981a-e45ad66c649c,fc46e727-74b4-4b85-a56e-3dd46c7b91b4,feea228c-ee1f-4f0a-a547-9f44e8df8af4,dce17f2e-af3e-40ad-8e00-3496adef44c3,nulla,1991,OBSOLETE,IN_STORE_FOR_ALLOCATION,UNKNOWN,UNKNOWN,NO,NO_GAUGE,NO_RTM
e9e883d8-2e39-4a3f-81c6-f8fa917a888d,4852c7b7-eb2b-4af2-a38e-456b8a2f4948,27e69d5b-f3b1-4ce6-bcb6-d9264004ec86,dce17f2e-af3e-40ad-8e00-3496adef44c3,orci luctus,1979,NON_FUNCTIONING,ACTIVE,UNKNOWN,UNKNOWN,NOT_APPLICABLE,PAIRED,PAIRED
446fded0-f854-44b8-8d2a-96ae8f8a6a0a,17431f02-76b8-4cad-90b1-1ebbc96d7c50,7e35f867-88bc-4340-ad5f-828480e5cd5b,dce17f2e-af3e-40ad-8e00-3496adef44c3,rhoncus dui,1988,OBSOLETE,NOT_IN_USE,NOT_APPLICABLE,NO,YES,BUILD_IN,NO_RTM
eb0b2efe-9fa7-4158-9bcb-12a1fd3ca966,b6afd8ac-08e3-4b54-896f-9fc0c694848f,cb2f95dc-fb2b-4425-b90a-4b4f242f4353,dce17f2e-af3e-40ad-8e00-3496adef44c3,lobortis ligula sit,2003,FUNCTIONING,ACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NO,BUILD_IN,PAIRED
0d144af4-fe1d-4568-84da-4ccc118cead3,e76783ab-442c-4af9-91f8-f31feb45321d,19d9e07d-8b27-4c43-a9c2-d8f56a3fb3cd,dce17f2e-af3e-40ad-8e00-3496adef44c3,interdum venenatis turpis,1967,NON_FUNCTIONING,NOT_IN_USE,YES,NOT_APPLICABLE,YES,NO_GAUGE,PAIRED
545af765-6510-4b26-be3a-323c2ecbfd3d,1ed54a6a-46a8-4547-88b2-5e761cf94a2f,089bc950-e347-4cee-9412-6e41db2736a0,dce17f2e-af3e-40ad-8e00-3496adef44c3,non sodales sed,1993,OBSOLETE,NOT_IN_USE,YES,NO,NO,PAIRED,BUILD_IN
df38bc47-cffe-45f6-91b6-844ead5a758c,f8062f16-33e8-427f-9f12-50b402cf63b4,ed3d4968-144e-4827-82e0-d51be9b1d42a,dce17f2e-af3e-40ad-8e00-3496adef44c3,praesent blandit lacinia,1958,OBSOLETE,IN_STORE_FOR_ALLOCATION,NO,UNKNOWN,NO,NO_GAUGE,PAIRED
942b6d6f-c1b0-4056-b257-eda6c322ca64,2b165ccb-20fc-4b34-aa3b-d3a8d0a62c01,5e977a66-f258-41c2-bb82-3fc7ff92ca89,dce17f2e-af3e-40ad-8e00-3496adef44c3,luctus,2010,OBSOLETE,NOT_IN_USE,NO,UNKNOWN,NOT_APPLICABLE,BUILD_IN,NO_RTM
b335f10b-cebb-4984-a262-ceebada51915,2816f3e7-32a6-4609-8dca-047af1ffa5d6,add4ab4f-f425-4499-a3d4-2897585a3d96,10845cb9-d365-4aaa-badd-b4fa39c6a26a,velit,2006,OBSOLETE,NOT_IN_USE,YES,NOT_APPLICABLE,UNKNOWN,NO_GAUGE,NO_RTM
db7833bb-a621-437c-ab7c-10149e664bc2,14e9d3b9-b035-442a-8706-b6e35ca6022a,29de4663-648e-44ba-9f31-dad471eb9af9,dce17f2e-af3e-40ad-8e00-3496adef44c3,sit,1955,OBSOLETE,IN_STORE_FOR_ALLOCATION,NO,NOT_APPLICABLE,YES,PAIRED,NO_RTM
90fcfe45-1d3f-4ffe-8331-3109766a7e90,b8fb9fbe-676b-4bc5-9889-6edfbbff917e,12ab52b4-2e8d-4435-82e3-4919410897cc,dce17f2e-af3e-40ad-8e00-3496adef44c3,at,2008,NON_FUNCTIONING,NOT_IN_USE,YES,NOT_APPLICABLE,UNKNOWN,NO_GAUGE,NO_RTM
a95853f0-3fcd-4038-bb94-7866dcdc352c,19a1a6be-7fb4-4513-b866-b5c88f320485,a6e4d672-da47-4c15-a6a2-caaff4701985,10845cb9-d365-4aaa-badd-b4fa39c6a26a,morbi quis tortor,1984,FUNCTIONING,ACTIVE,YES,YES,YES,NO_GAUGE,PAIRED
59df48cd-95d9-4a09-896b-fdc0b4f868e9,05ce6df6-c309-41a4-80ce-de5ca3dd5527,6be9cdf0-f7fb-4dd5-aa52-4c99e35c933c,dce17f2e-af3e-40ad-8e00-3496adef44c3,sit amet,2004,NON_FUNCTIONING,IN_STORE_FOR_ALLOCATION,NOT_APPLICABLE,NOT_APPLICABLE,NO,PAIRED,PAIRED
7664f96b-2d7b-4a10-9890-469902113426,3029dcb4-4f40-4873-b2e2-66380c538e75,ec8321d0-0ce0-4473-b8b8-1dd02f28ae9b,10845cb9-d365-4aaa-badd-b4fa39c6a26a,erat tortor,1979,FUNCTIONING,ACTIVE,NO,NOT_APPLICABLE,YES,PAIRED,BUILD_IN
8916915e-dac8-4251-a349-40947efd7ed9,ecf1ad2d-0bbe-4334-b16a-8c40edeb39b3,c8129149-b661-4c0d-a728-6e5868b73a19,dce17f2e-af3e-40ad-8e00-3496adef44c3,lacus,2016,NON_FUNCTIONING,ACTIVE,NO,NOT_APPLICABLE,UNKNOWN,PAIRED,BUILD_IN
c5fa35a2-dc69-41eb-9802-ae2268ee904a,53cf7a64-f734-4853-b88e-90241544a687,382a5edc-a598-44d7-95f1-fd1bd682c544,10845cb9-d365-4aaa-badd-b4fa39c6a26a,sed vel enim,2013,NON_FUNCTIONING,IN_STORE_FOR_ALLOCATION,UNKNOWN,NOT_APPLICABLE,NO,NO_GAUGE,PAIRED
ee656117-8475-464e-967b-6258ae974830,baba78c8-72a0-4d7f-bce4-f978f711b2b6,b47e5b51-89c4-41c0-b8d4-9988b2583d58,dce17f2e-af3e-40ad-8e00-3496adef44c3,posuere,1980,NON_FUNCTIONING,NOT_IN_USE,YES,UNKNOWN,UNKNOWN,PAIRED,NO_RTM
c7af0312-da57-4c50-b562-a731b4143c71,c40698c9-3403-484c-b550-205d2ca224cb,7470a781-24c3-4052-90a7-66be86dd84c7,dce17f2e-af3e-40ad-8e00-3496adef44c3,mauris,1955,NON_FUNCTIONING,NOT_IN_USE,YES,NOT_APPLICABLE,NOT_APPLICABLE,BUILD_IN,BUILD_IN
1bf2d537-a0e8-4f45-8713-8fe7425fd9d6,bc070897-956c-4011-b038-b9ccf624fbda,2774a958-9ad6-46ea-8c07-532b412bbdff,dce17f2e-af3e-40ad-8e00-3496adef44c3,suspendisse ornare consequat,1967,OBSOLETE,IN_STORE_FOR_ALLOCATION,NOT_APPLICABLE,NO,NOT_APPLICABLE,BUILD_IN,BUILD_IN
6d5c4e05-74a0-45ac-8966-b5f8fab17ad7,8c613083-6687-4424-a6ce-2e8606c5bdd5,4ff794d3-710f-41aa-876f-644b5e3529f6,dce17f2e-af3e-40ad-8e00-3496adef44c3,sollicitudin,1981,FUNCTIONING,IN_STORE_FOR_ALLOCATION,UNKNOWN,UNKNOWN,UNKNOWN,NO_GAUGE,PAIRED
74e97ea2-488b-4201-a731-5883a01bd666,e83432ea-ffc2-41e3-94f8-8ad11d5da63b,421dff78-4192-4485-82d6-fe09f269cac0,dce17f2e-af3e-40ad-8e00-3496adef44c3,sollicitudin,1957,FUNCTIONING,IN_STORE_FOR_ALLOCATION,NOT_APPLICABLE,NO,NO,BUILD_IN,BUILD_IN
a4330c8e-f246-4a5b-9153-bc971cb731fe,0f1dbf4e-a71b-4e39-9c17-29d76c4003b8,ab26960a-7a74-47e7-86b1-83763d1d9062,dce17f2e-af3e-40ad-8e00-3496adef44c3,vivamus tortor,1986,NON_FUNCTIONING,IN_STORE_FOR_ALLOCATION,YES,NOT_APPLICABLE,UNKNOWN,NO_GAUGE,BUILD_IN
f262a42e-f66c-4835-8d5c-dfdda296386e,66f36eee-fd9b-45e6-854c-0b53ffa8acda,3c835877-4b24-4edf-a589-30b39de5698c,dce17f2e-af3e-40ad-8e00-3496adef44c3,nascetur,1950,FUNCTIONING,ACTIVE,UNKNOWN,UNKNOWN,NOT_APPLICABLE,PAIRED,NO_RTM
6948c82d-77fb-4051-b811-ea82a502d450,ae4f2572-7569-46a7-8d20-c139f4f6b8c8,ab26960a-7a74-47e7-86b1-83763d1d9062,dce17f2e-af3e-40ad-8e00-3496adef44c3,odio curabitur convallis,1976,FUNCTIONING,IN_STORE_FOR_ALLOCATION,UNKNOWN,UNKNOWN,YES,PAIRED,NO_RTM
c35cf99e-9b6a-4c10-ac1b-6e68ae01f802,7fa60743-87b1-413d-8818-c43f9ff121f5,1449ae73-00fd-43e9-ad7f-95e1f24cf5fa,10845cb9-d365-4aaa-badd-b4fa39c6a26a,eget elit sodales,2012,OBSOLETE,NOT_IN_USE,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,BUILD_IN,NO_RTM
9c5b1eda-9b49-41bf-b4d1-fe1d97fbb8ad,7ffa7a94-d954-4ae7-806f-25e03f5cd20d,1a028b9b-107a-4604-a738-deeab46054cf,dce17f2e-af3e-40ad-8e00-3496adef44c3,lectus,1981,OBSOLETE,NOT_IN_USE,UNKNOWN,YES,NO,BUILD_IN,BUILD_IN
615aa280-f4f8-455c-b9a5-4db94485e36f,76751e07-3a40-4711-a25f-b259b88b8922,05b0c7d5-5e9d-43f0-9193-8934df26cb12,10845cb9-d365-4aaa-badd-b4fa39c6a26a,imperdiet sapien,2013,NON_FUNCTIONING,IN_STORE_FOR_ALLOCATION,UNKNOWN,NOT_APPLICABLE,NO,NO_GAUGE,PAIRED
8681f337-8427-4c72-a777-b70dc4c34dca,b1ad6bf4-d192-4b9d-be69-9c2a0e793926,215ca980-611b-44f0-bc89-f3ea8020b9f6,10845cb9-d365-4aaa-badd-b4fa39c6a26a,ligula,1984,NON_FUNCTIONING,IN_STORE_FOR_ALLOCATION,UNKNOWN,NO,NOT_APPLICABLE,BUILD_IN,NO_RTM
755b3a7d-abfd-4426-9218-7babb5a89177,2bbc707b-acaf-4f72-a09f-18c2f85bad47,e08576cd-3a4b-47c3-87f6-8bea40609262,dce17f2e-af3e-40ad-8e00-3496adef44c3,at nunc commodo,1956,FUNCTIONING,IN_STORE_FOR_ALLOCATION,YES,UNKNOWN,YES,BUILD_IN,BUILD_IN
cbfc746a-03b9-4056-ab44-697020cef0ed,a24b624c-db91-46db-97e5-373ae60becc7,205addb4-9610-434b-9d0c-95a1f077ee74,10845cb9-d365-4aaa-badd-b4fa39c6a26a,sapien,1951,OBSOLETE,IN_STORE_FOR_ALLOCATION,NO,UNKNOWN,UNKNOWN,BUILD_IN,NO_RTM
5c3d488d-79f5-457e-a9c1-051fb1a2315d,501de76b-f2cf-48ff-80a2-43c6a2d8ca17,bc086b9f-ed48-4a33-8d62-cb30b993818d,dce17f2e-af3e-40ad-8e00-3496adef44c3,non velit donec,1989,OBSOLETE,ACTIVE,UNKNOWN,YES,YES,PAIRED,NO_RTM
9edad7f1-dcef-4625-9aa6-795e47bba024,596946dc-a815-498c-ba73-c5e751021487,68b98397-42df-4063-b0ab-20cdd70c6d0d,dce17f2e-af3e-40ad-8e00-3496adef44c3,ac,2008,FUNCTIONING,ACTIVE,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NO_GAUGE,BUILD_IN
e88f7b3f-4b77-4531-97cb-775ab1cbe530,1ab81496-6740-4276-8f7f-4f923c109974,31682f95-e38d-47b8-9f54-3c424fd8860b,dce17f2e-af3e-40ad-8e00-3496adef44c3,in,2011,NON_FUNCTIONING,NOT_IN_USE,YES,NO,YES,BUILD_IN,PAIRED
d8ccda6f-69fc-447e-84e0-fbda67cd4ccf,1b68d8a8-c5b9-4e62-a0bc-b2d34a316f35,d08b7445-2c2b-4895-bcf8-ef2431ff22d8,dce17f2e-af3e-40ad-8e00-3496adef44c3,ut odio cras,2002,NON_FUNCTIONING,ACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,PAIRED,PAIRED
09da86f8-a064-4a25-a7dc-c1397ee42ab8,987d2248-6100-4228-a4e5-7ed39616016b,9955db2d-06e1-4ba7-859e-af044f420b6d,10845cb9-d365-4aaa-badd-b4fa39c6a26a,mattis nibh ligula,2000,OBSOLETE,IN_STORE_FOR_ALLOCATION,NO,NO,UNKNOWN,NO_GAUGE,BUILD_IN
6882f828-6777-4b50-930a-77c2eb6ea4fd,6a382c33-f5f5-49b2-9b5c-01275cd96455,dbffeb95-38a7-4cd2-ab5f-397f02e726e4,dce17f2e-af3e-40ad-8e00-3496adef44c3,penatibus et,2005,OBSOLETE,ACTIVE,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NO_GAUGE,PAIRED
ac1a43de-ddbe-4053-be23-08c229a91060,9d695e2f-ee40-4ebe-a591-6c06af467c7b,284fcc0f-bbd0-4b5f-8779-0a5e976e56ff,dce17f2e-af3e-40ad-8e00-3496adef44c3,justo,1961,FUNCTIONING,ACTIVE,NO,NO,YES,NO_GAUGE,NO_RTM
c81ea7d7-6b7f-425e-825e-dc603f899f15,e324b836-9ce8-4acb-b29b-26b8b3e75593,8a7f108e-07fb-48c0-af74-7fbddde44209,10845cb9-d365-4aaa-badd-b4fa39c6a26a,convallis duis,1963,OBSOLETE,NOT_IN_USE,NO,NOT_APPLICABLE,NOT_APPLICABLE,BUILD_IN,BUILD_IN
8693610c-bd01-4983-b4d7-6f9c873eff87,49788d2b-5a41-402b-ac89-d038b05e89b7,871326b3-85a7-42ac-b612-80f21611355e,dce17f2e-af3e-40ad-8e00-3496adef44c3,erat curabitur,2016,OBSOLETE,NOT_IN_USE,YES,UNKNOWN,NO,BUILD_IN,NO_RTM
c340ec83-302d-4d9f-9015-435f18a73694,d921dfb8-cd49-4421-829f-a94d9f949215,ef64dd9b-0a56-4abf-9213-cab0ba972f7c,10845cb9-d365-4aaa-badd-b4fa39c6a26a,in quis,2006,OBSOLETE,NOT_IN_USE,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,BUILD_IN,PAIRED
b730732f-8ec2-4472-89a0-1b84cc9478c5,9779fb4b-ef99-44ab-8e6a-701c3327fa89,303c8957-cefe-4514-8c41-5baba203ebba,dce17f2e-af3e-40ad-8e00-3496adef44c3,elementum,1984,FUNCTIONING,NOT_IN_USE,NO,YES,YES,BUILD_IN,BUILD_IN
b3b20d5b-a69c-4747-a058-c8a157e79540,a838dae7-c768-45b6-9ed1-cb3d65dc7b11,4532d24d-2abc-44bb-a626-df5d5b419536,10845cb9-d365-4aaa-badd-b4fa39c6a26a,magna ac consequat,2006,NON_FUNCTIONING,IN_STORE_FOR_ALLOCATION,YES,UNKNOWN,YES,NO_GAUGE,NO_RTM
8d166b07-24cd-424f-8723-641e3f9f78e3,a4039b5d-7333-42df-aeee-a37961f7f8e2,577d2b3e-36d4-4401-8756-b417751b99d8,dce17f2e-af3e-40ad-8e00-3496adef44c3,eget,1988,FUNCTIONING,NOT_IN_USE,UNKNOWN,YES,UNKNOWN,BUILD_IN,BUILD_IN
e4aef5c2-bda8-4d83-838b-f10e75c9e818,565fee7d-5cb3-4477-9e6d-a262abf4692e,e29e3d65-0c04-40d2-aebb-a8278f185bf1,dce17f2e-af3e-40ad-8e00-3496adef44c3,maecenas,1972,FUNCTIONING,ACTIVE,YES,NO,UNKNOWN,BUILD_IN,BUILD_IN
35ce1927-e785-4ea0-a8d7-9b841a794b00,b2fda385-d5fe-4bdd-aa24-5681579bccde,695a8370-2f84-4ef3-a560-9164e36c00ce,10845cb9-d365-4aaa-badd-b4fa39c6a26a,vestibulum ante ipsum,1989,NON_FUNCTIONING,IN_STORE_FOR_ALLOCATION,NOT_APPLICABLE,NO,NOT_APPLICABLE,PAIRED,BUILD_IN
482b7d98-2821-42e6-925d-cf04ca51a414,3bee8de9-bba4-4e46-8f5a-5fbc05060525,d8e3f39f-fd60-4b89-874e-c15508d8213a,dce17f2e-af3e-40ad-8e00-3496adef44c3,sit amet erat,1993,OBSOLETE,NOT_IN_USE,UNKNOWN,YES,NOT_APPLICABLE,BUILD_IN,PAIRED
d8e41d7b-efd8-4f7b-9f3b-7683f68d2a17,0f1dbf4e-a71b-4e39-9c17-29d76c4003b8,02e940ee-812b-4201-a5b2-6b157dee9f19,dce17f2e-af3e-40ad-8e00-3496adef44c3,quis orci,1954,FUNCTIONING,ACTIVE,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,BUILD_IN,NO_RTM
9f41fef2-5338-49e8-b273-11eb65fa5308,e58ebe4a-d08c-47eb-af2b-0cc0c22041b3,7a656511-b945-4b4d-b8d5-c2d8935e989f,dce17f2e-af3e-40ad-8e00-3496adef44c3,rhoncus dui,1988,NON_FUNCTIONING,IN_STORE_FOR_ALLOCATION,UNKNOWN,UNKNOWN,NO,PAIRED,NO_RTM
c10bb1bc-a285-4b42-8df1-d51fb84a1f41,707c4163-a896-4a61-b8d6-7d660c04c5c6,92f82e14-6f66-4c49-9350-64f480764ec2,dce17f2e-af3e-40ad-8e00-3496adef44c3,in,1993,NON_FUNCTIONING,ACTIVE,NOT_APPLICABLE,YES,NOT_APPLICABLE,NO_GAUGE,NO_RTM
f0e83207-425c-4910-a266-15a8d716a933,abc26e58-fade-458c-bf76-337a7c763cb7,a657935c-ef5f-42b9-adfa-f33fddd8e767,10845cb9-d365-4aaa-badd-b4fa39c6a26a,ac,1961,FUNCTIONING,ACTIVE,UNKNOWN,YES,UNKNOWN,NO_GAUGE,NO_RTM
54b37455-e478-4cb2-9032-88fa7c3d95c3,8b7c2126-24b4-4c84-bee4-3009d4856e32,cce3687e-8418-488a-8316-7edeffdeae8e,dce17f2e-af3e-40ad-8e00-3496adef44c3,non,1969,OBSOLETE,ACTIVE,NO,UNKNOWN,UNKNOWN,BUILD_IN,NO_RTM
